Date,SPY_Close,SPY_Volume,AGG_Close,AGG_Volume,QQQ_Close,QQQ_Volume,VNQ_Close,VNQ_Volume,IWM_Close,IWM_Volume,VIG_Close,VIG_Volume,IEF_Close,IEF_Volume
2007-03-01,100.91893768310547,212828600,60.881874084472656,662900,37.39144515991211,231806500,39.19636154174805,332600,61.97822189331055,97674800,37.498146057128906,15900,55.548831939697266,500500
2007-03-02,99.59734344482422,162574000,61.009185791015625,187600,36.827938079833984,183359400,38.57450485229492,251600,60.74534225463867,96274500,37.2312126159668,12500,55.72891616821289,249000
2007-03-05,98.64930725097656,143750400,60.97280502319336,264700,36.54184341430664,171885400,37.07330322265625,300100,59.409637451171875,122207900,37.048583984375,24900,55.762210845947266,298800
2007-03-06,100.33714294433594,143333300,60.930381774902344,221300,37.148681640625,155551800,38.43360900878906,163300,61.02983474731445,94041400,37.420875549316406,20100,55.68890380859375,302200
2007-03-07,100.23657989501953,115144900,60.97886276245117,296500,37.00132751464844,119979300,37.89434814453125,95000,60.83229064941406,55408800,37.35063934326172,19900,55.78894805908203,265500
2007-03-08,101.08412170410156,117891600,60.924320220947266,351700,37.25272750854492,120900700,38.50163269042969,137100,61.29066848754883,76876500,37.54732894897461,9900,55.78227615356445,170300
2007-03-09,101.11280059814453,107765100,60.75459671020508,309900,37.21806335449219,128597600,39.01174545288086,132200,61.78859329223633,69129900,37.61056137084961,9100,55.46872329711914,333800
2007-03-12,101.263671875,80366900,60.94252014160156,224200,37.46079635620117,81310100,39.206077575683594,103800,61.96243667602539,35945400,37.63864517211914,10600,55.62217712402344,253300
2007-03-13,99.2956771850586,190605200,61.10010528564453,344300,36.73255157470703,171231800,38.28300857543945,129500,60.3739013671875,96417200,36.943199157714844,18000,55.86898422241211,196000
2007-03-14,100.03548431396484,231853800,61.027339935302734,468700,37.27006530761719,192586700,38.46760940551758,111900,61.014034271240234,129087500,37.034515380859375,14900,55.79560852050781,267900
2007-03-15,100.17193603515625,132435900,60.960670471191406,201400,37.18336486816406,111627400,38.81256103515625,118300,61.48822784423828,84037300,37.18205261230469,7300,55.73556900024414,338900
2007-03-16,99.89146423339844,121531600,60.966739654541016,264100,37.15475082397461,108328800,38.38016891479492,131400,61.06937789916992,77107100,37.00640869140625,10200,55.72891616821289,340500
2007-03-19,101.09566497802734,96161200,60.924320220947266,181300,37.53643798828125,95913200,38.763980865478516,140300,61.82807540893555,56720800,37.3576545715332,9000,55.65552520751953,238200
2007-03-20,101.6509017944336,82147400,60.984947204589844,446400,37.80537414550781,78755700,38.9194450378418,67800,62.31810760498047,46527300,37.61056137084961,4700,55.73556900024414,169400
2007-03-21,103.32380676269531,152368700,61.06374740600586,664300,38.5340690612793,173333500,39.39069366455078,82300,63.440391540527344,77517600,38.12335205078125,18300,55.815616607666016,369800
2007-03-22,103.24444580078125,118942200,60.948570251464844,210200,38.3952751159668,114856300,39.42958450317383,178900,63.440391540527344,40940200,38.137420654296875,60700,55.62884521484375,236500
2007-03-23,103.39588165283203,74416800,60.86369323730469,226200,38.27382278442383,68530300,39.4538459777832,222000,63.53855514526367,37200500,38.270870208740234,12600,55.5421257019043,163400
2007-03-26,103.25886535644531,113787500,60.827335357666016,444100,38.429962158203125,114237300,38.82205581665039,469400,63.4039421081543,46665700,38.23844909667969,27300,55.588775634765625,142100
2007-03-27,103.01375579833984,99864600,60.839385986328125,275600,38.16104507446289,76419200,38.416465759277344,103300,63.11096954345703,40734900,37.98469543457031,18200,55.57549285888672,165900
2007-03-28,102.26384735107422,152907900,60.869781494140625,217600,37.753326416015625,142795000,38.16238021850586,104800,62.67544937133789,67939400,37.75210952758789,14400,55.56875991821289,240500
2007-03-29,102.37195587158203,139432700,60.77275848388672,223000,37.79671096801758,124407000,38.225921630859375,115900,62.754642486572266,49841400,37.82964324951172,12900,55.4887580871582,121400
2007-03-30,102.39364624023438,128194100,60.77275848388672,435200,37.761985778808594,120418700,38.773189544677734,231300,62.9129753112793,54280000,37.82259750366211,9600,55.422096252441406,464400
2007-04-02,102.50898742675781,79416400,60.85124969482422,1065300,37.81405258178711,89617700,39.01750564575195,151100,63.071380615234375,36558700,37.87192916870117,13100,55.48369216918945,156600
2007-04-03,103.61219024658203,82417800,60.79043197631836,390600,38.30852508544922,105814500,39.35955047607422,186400,63.74446487426758,44410200,38.21025848388672,19200,55.436790466308594,257400
2007-04-04,103.72760009765625,63995200,60.85737991333008,181400,38.46466064453125,85147200,39.16407012939453,88500,63.736507415771484,35754200,38.23844909667969,8100,55.52385711669922,182300
2007-04-05,104.00883483886719,46822800,60.802608489990234,269600,38.65550994873047,54220200,39.125003814697266,66900,63.69694519042969,24666800,38.28778839111328,13400,55.38322830200195,161200
2007-04-09,104.1530532836914,50967400,60.57136535644531,324200,38.560096740722656,63050200,39.19830322265625,97800,63.7840576171875,38545000,38.330081939697266,17300,55.128780364990234,198900
2007-04-10,104.27561950683594,56620000,60.66265106201172,314700,38.75961685180664,76364500,39.35955047607422,82500,63.98197937011719,48521000,38.372371673583984,11500,55.242618560791016,97600
2007-04-11,103.85016632080078,106365700,60.62614440917969,344200,38.351898193359375,114012300,38.773189544677734,137800,63.58607864379883,59019200,38.1679801940918,18700,55.17561340332031,150700
2007-04-12,104.31169128417969,115534400,60.69913864135742,274100,38.65550994873047,113801300,38.50932312011719,71600,64.013671875,45075400,38.308937072753906,11300,55.229225158691406,111200
2007-04-13,104.78762817382812,84287000,60.60177993774414,291600,38.73357009887695,94572000,38.94419860839844,82700,64.42547607421875,31467000,38.40762710571289,5900,55.135467529296875,139100
2007-04-16,105.78265380859375,83064600,60.72346496582031,396400,39.08924865722656,72803200,38.99306869506836,160900,65.31230926513672,43967100,38.87987518310547,10500,55.195709228515625,262300
2007-04-17,106.06391906738281,108424100,60.89991760253906,368200,39.1760139465332,81852300,39.501243591308594,95200,65.11434936523438,51536000,39.12656021118164,18100,55.430091857910156,1080400
2007-04-18,106.19364166259766,88345300,60.99125671386719,160100,39.04587936401367,82002500,39.25693130493164,75300,64.7342758178711,48993700,39.12656021118164,5800,55.557334899902344,252500
2007-04-19,106.16488647460938,102947700,60.96689987182617,223500,39.16733169555664,95413000,38.99306869506836,66700,64.42547607421875,69360400,39.02083969116211,19400,55.550601959228516,153600
2007-04-20,107.16715240478516,124114100,60.93648910522461,162100,39.38422393798828,122377400,39.28623580932617,139200,65.1777114868164,68702200,39.507205963134766,10900,55.490386962890625,88800
2007-04-23,106.76336669921875,77270800,60.9973030090332,409600,39.44491958618164,85303300,39.72600555419922,182400,65.10643005371094,34858200,39.33097839355469,76200,55.60420608520508,90500
2007-04-24,106.806640625,114471000,61.02778244018555,227500,39.64445877075195,108143700,39.45726013183594,74800,65.07478332519531,56640600,39.30983352661133,15000,55.71132278442383,660500
2007-04-25,107.78730010986328,108418800,61.052066802978516,401800,40.17361831665039,106818100,39.43282699584961,152000,65.25691223144531,51964600,39.60588073730469,9900,55.677852630615234,537400
2007-04-26,107.90986633300781,88741600,60.93648910522461,251900,40.381832122802734,99308300,39.45726013183594,57800,65.62116241455078,47381600,39.57768249511719,5400,55.51716232299805,307600
2007-04-27,107.82333374023438,108191100,60.92428970336914,169100,40.39916229248047,96536500,39.35955047607422,56500,65.343994140625,56761000,39.61997604370117,4900,55.51716232299805,180000
2007-04-30,106.9291763305664,100874100,61.13120651245117,298600,39.8699951171875,93290500,38.72431945800781,152300,63.93450164794922,86447400,39.500144958496094,14900,55.758201599121094,171500
2007-05-01,107.20320129394531,134342700,61.095767974853516,1029900,39.83530044555664,135044400,38.38715744018555,171500,64.19580841064453,88311800,39.500144958496094,6500,55.760860443115234,158900
2007-05-02,107.83055877685547,87129800,61.11408615112305,255200,40.26905059814453,91971600,38.69011306762695,90800,65.05104064941406,49850600,39.71866226196289,19600,55.69369125366211,167000
2007-05-03,108.41463470458984,86569700,61.046875,267900,40.416534423828125,98003600,38.792724609375,48800,65.16976928710938,57008800,39.894874572753906,8200,55.633209228515625,113200
2007-05-04,108.82568359375,96409000,61.126338958740234,233700,40.451210021972656,93591800,38.45556640625,87500,65.5815658569336,47940900,39.866668701171875,4300,55.77432632446289,144800
2007-05-07,108.84723663330078,63461400,61.187381744384766,301500,40.451210021972656,47487900,38.563079833984375,164000,65.39153289794922,40421400,39.98651123046875,13900,55.821407318115234,104500
2007-05-08,108.70309448242188,80584000,61.12021255493164,291000,40.53798294067383,95138900,38.30897903442383,81900,65.161865234375,59329800,39.90192794799805,13300,55.821407318115234,158900
2007-05-09,108.99873352050781,102070100,61.046875,302100,40.62471389770508,116021000,38.72431945800781,76800,65.42318725585938,66106100,40.0499382019043,17100,55.6399040222168,201600
2007-05-10,107.8593978881836,153617800,61.15073776245117,218200,40.06951904296875,171196300,38.206363677978516,103300,64.61552429199219,92481400,39.64113235473633,14200,55.781089782714844,153100
2007-05-11,108.7823486328125,113408900,61.02857971191406,185100,40.58134460449219,104767900,38.72431945800781,65600,65.20145416259766,57249600,39.88077926635742,13200,55.666805267333984,178000
2007-05-14,108.54441833496094,108027500,61.040802001953125,247300,40.30375671386719,118899200,38.50442886352539,82500,64.63131713867188,71975000,39.82438659667969,12900,55.586143493652344,142400
2007-05-15,108.57329559326172,180673300,61.016353607177734,266100,39.99144744873047,179438500,37.91808319091797,422900,64.11662292480469,115258700,39.74685287475586,18600,55.57941436767578,168400
2007-05-16,109.31596374511719,114166500,61.02857971191406,238800,40.381832122802734,144420500,37.44895935058594,136700,64.46505737304688,95727600,40.05698013305664,31400,55.54582214355469,191300
2007-05-17,109.09966278076172,101132800,60.92473602294922,212200,40.19099426269531,109869100,36.799102783203125,154700,63.966190338134766,71780400,40.04288864135742,10600,55.39792251586914,263500
2007-05-18,110.05146789550781,99182000,60.747562408447266,431900,40.520633697509766,104961700,36.42775344848633,373200,64.71844482421875,80552700,40.19794845581055,3900,55.23659896850586,236400
2007-05-21,109.9937515258789,174664600,60.86979675292969,316500,40.78086471557617,112831400,36.5743293762207,597400,65.53406524658203,148866800,40.183860778808594,3500,55.31053161621094,222000
2007-05-22,109.90729522705078,82148800,60.747562408447266,353000,40.81556701660156,98029100,37.1167106628418,179700,65.93790435791016,69634200,40.19794845581055,9100,55.15597915649414,217000
2007-05-23,109.92170715332031,133786600,60.69867706298828,1081300,40.62471389770508,119220600,36.83330154418945,193000,65.76367950439453,59384400,40.21910858154297,24200,55.0484619140625,228100
