Date,TIPS_adj_close,TIPS_240,TIPS_momentum
2007-03-01,61.633689880371094,59.97680716514587,1.6568827152252226
2007-03-02,61.75593185424805,59.98621039390564,1.76972146034241
2007-03-05,61.713157653808594,59.99558138847351,1.717576265335083
2007-03-06,61.627601623535156,60.00581254959106,1.6217890739440932
2007-03-07,61.71927261352539,60.01606068611145,1.703211927413939
2007-03-08,61.664241790771484,60.02634711265564,1.6378946781158419
2007-03-09,61.383155822753906,60.03427015940348,1.3488856633504227
2007-03-12,61.438148498535156,60.0432252407074,1.394923257827756
2007-03-13,61.68256759643555,60.05439093907674,1.6281766573588072
2007-03-14,61.6887092590332,60.066044616699216,1.6226646423339872
2007-03-15,61.67033004760742,60.078157075246175,1.5921729723612472
2007-03-16,61.707008361816406,60.09037356376648,1.6166347980499296
2007-03-19,61.7009162902832,60.10289495786031,1.5980213324228956
2007-03-20,61.713157653808594,60.11566294034322,1.5974947134653732
2007-03-21,61.94537353515625,60.12856698036194,1.8168065547943115
2007-03-22,61.76206588745117,60.14139192899068,1.6206739584604932
2007-03-23,61.71927261352539,60.15501689910889,1.564255714416504
2007-03-26,61.939266204833984,60.16938745180766,1.769878753026326
2007-03-27,61.92091751098633,60.182703224817914,1.7382142861684144
2007-03-28,61.835350036621094,60.196518341700234,1.6388316949208601
2007-03-29,61.75593185424805,60.211518955230716,1.5444128990173311
2007-03-30,61.743682861328125,60.225196758906044,1.5184861024220808
2007-04-02,61.76763153076172,60.23816727002462,1.5294642607371003
2007-04-03,61.49775314331055,60.24976874987284,1.2479843934377044
2007-04-04,61.69401168823242,60.26301957766215,1.4309921105702728
2007-04-05,61.681766510009766,60.275338888168335,1.4064276218414307
2007-04-09,61.405757904052734,60.286752716700235,1.1190051873524993
2007-04-10,61.552947998046875,60.30058957735697,1.2523584206899017
2007-04-11,61.45479965209961,60.3142865339915,1.1405131181081103
2007-04-12,61.45479965209961,60.326907300949095,1.1278923511505141
2007-04-13,61.301509857177734,60.338008960088096,0.9635008970896379
