Date,Close
2007/1/3,99.91
2007/1/4,100.12
2007/1/5,100.05
2007/1/8,100.11
2007/1/9,100.11
2007/1/10,100
2007/1/11,99.81
2007/1/12,99.67
2007/1/16,99.82
2007/1/17,99.74
2007/1/18,99.88
2007/1/19,99.84
2007/1/22,99.89
2007/1/23,99.7
2007/1/24,99.67
2007/1/25,99.54
2007/1/26,99.53
2007/1/29,99.4
2007/1/30,99.55
2007/1/31,99.63
2007/2/1,99.29
2007/2/2,99.43
2007/2/5,99.59
2007/2/6,99.78
2007/2/7,99.9
2007/2/8,99.96
2007/2/9,99.73
2007/2/12,99.63
2007/2/13,99.62
2007/2/14,100
2007/2/15,100.14
2007/2/16,100.21
2007/2/20,100.26
2007/2/21,100.25
2007/2/22,100.05
2007/2/23,100.29
2007/2/26,100.51
2007/2/27,100.92
2007/2/28,100.86
2007/3/1,100.44
2007/3/2,100.65
2007/3/5,100.59
2007/3/6,100.52
2007/3/7,100.6
2007/3/8,100.51
2007/3/9,100.23
2007/3/12,100.54
2007/3/13,100.8
2007/3/14,100.68
2007/3/15,100.57
2007/3/16,100.58
2007/3/19,100.51
2007/3/20,100.61
2007/3/21,100.74
2007/3/22,100.55
2007/3/23,100.41
2007/3/26,100.35
2007/3/27,100.37
2007/3/28,100.42
2007/3/29,100.35
2007/3/30,100.26
2007/4/2,99.87
2007/4/3,99.9
2007/4/4,100.01
2007/4/5,99.92
2007/4/9,99.54
2007/4/10,99.69
2007/4/11,99.63
2007/4/12,99.75
2007/4/13,99.59
2007/4/16,99.79
2007/4/17,100.08
2007/4/18,100.23
2007/4/19,100.19
2007/4/20,100.14
2007/4/23,100.24
2007/4/24,100.29
2007/4/25,100.33
2007/4/26,100.14
2007/4/27,100.12
2007/4/30,100.46
2007/5/1,100.02
2007/5/2,100.05
2007/5/3,99.94
2007/5/4,100.07
2007/5/7,100.17
2007/5/8,100.06
2007/5/9,99.94
2007/5/10,100.11
2007/5/11,99.91
2007/5/14,99.93
2007/5/15,99.89
2007/5/16,99.91
2007/5/17,99.74
2007/5/18,99.45
2007/5/21,99.65
2007/5/22,99.45
2007/5/23,99.37
2007/5/24,99.41
2007/5/25,99.36
2007/5/29,99.26
2007/5/30,99.38
2007/5/31,99.16
2007/6/1,98.63
2007/6/4,98.75
2007/6/5,98.47
2007/6/6,98.51
2007/6/7,97.83
2007/6/8,97.71
2007/6/11,97.78
2007/6/12,97.2
2007/6/13,97.35
2007/6/14,97.54
2007/6/15,97.89
2007/6/18,97.96
2007/6/19,98.27
2007/6/20,97.97
2007/6/21,97.85
2007/6/22,98.08
2007/6/25,98.17
2007/6/26,98.05
2007/6/27,98.24
2007/6/28,98.17
2007/6/29,98.36
2007/7/2,98.2
2007/7/3,98.09
2007/7/5,97.68
2007/7/6,97.51
2007/7/9,97.68
2007/7/10,98.1
2007/7/11,97.88
2007/7/12,97.78
2007/7/13,97.9
2007/7/16,98.1
2007/7/17,97.92
2007/7/18,98.17
2007/7/19,98.17
2007/7/20,98.4
2007/7/23,98.34
2007/7/24,98.54
2007/7/25,98.48
2007/7/26,98.83
2007/7/27,98.73
2007/7/30,98.68
2007/7/31,98.99
2007/8/1,98.33
2007/8/2,98.28
2007/8/3,98.71
2007/8/6,98.55
2007/8/7,98.48
2007/8/8,98.36
2007/8/9,98.48
2007/8/10,98.15
2007/8/13,98.33
2007/8/14,98.6
2007/8/15,98.73
2007/8/16,98.67
2007/8/17,98.89
2007/8/20,98.8
2007/8/21,99.26
2007/8/22,99.18
2007/8/23,99.3
2007/8/24,99.05
2007/8/27,99.35
2007/8/28,99.75
2007/8/29,99.55
2007/8/30,99.76
2007/8/31,99.82
2007/9/4,99.28
2007/9/5,99.6
2007/9/6,99.58
2007/9/7,100.2
2007/9/11,100.26
2007/9/12,100.12
2007/9/13,99.83
2007/9/14,99.9
2007/9/17,99.94
2007/9/18,100.15
2007/9/19,100.13
2007/9/20,99.42
2007/9/21,99.71
2007/9/24,99.72
2007/9/25,99.8
2007/9/26,99.7
2007/9/27,99.87
2007/9/28,100.02
2007/10/1,99.27
2007/10/2,99.65
2007/10/3,99.7
2007/10/4,99.66
2007/10/5,98.87
2007/10/8,99.65
2007/10/9,99.44
2007/10/10,99.57
2007/10/11,99.64
2007/10/12,99.45
2007/10/15,99.48
2007/10/16,99.64
2007/10/17,99.98
2007/10/18,100.27
2007/10/19,100.73
2007/10/22,100.7
2007/10/23,100.67
2007/10/24,101.11
2007/10/25,100.85
2007/10/26,100.76
2007/10/29,100.76
2007/10/30,100.89
2007/10/31,100.61
2007/11/1,100.44
2007/11/2,100.55
2007/11/5,100.46
2007/11/6,100.33
2007/11/7,100.35
2007/11/8,100.45
2007/11/9,100.8
2007/11/12,100.66
2007/11/13,100.67
2007/11/14,100.63
2007/11/15,101.06
2007/11/16,100.99
2007/11/19,101.21
2007/11/20,101
2007/11/21,101.77
2007/11/23,101.25
2007/11/26,102.17
2007/11/27,101.75
2007/11/28,101.5
2007/11/29,101.79
2007/11/30,101.99
2007/12/3,102.13
2007/12/4,101.74
2007/12/5,101.55
2007/12/6,101.44
2007/12/7,100.86
2007/12/10,100.66
2007/12/11,101.15
2007/12/12,101.05
2007/12/13,100.66
2007/12/14,100.38
2007/12/17,100.53
2007/12/19,101.27
2007/12/20,101.18
2007/12/21,100.74
2007/12/26,100.46
2007/12/27,100.6
2007/12/28,101.14
