Date,Close_US1M
2023-03-28,4.156
2023-03-27,4.182
2023-03-24,4.217
2023-03-23,4.022
2023-03-22,4.091
2023-03-21,3.972
2023-03-20,4.276
2023-03-17,4.008
2023-03-16,4.116
2023-03-15,4.201
2023-03-14,4.363
2023-03-13,4.54
2023-03-10,4.724
2023-03-09,4.64
2023-03-08,4.685
2023-03-07,4.716
2023-03-06,4.683
2023-03-03,4.686
2023-03-02,4.587
2023-03-01,4.593
2023-02-28,4.593
2023-02-27,4.617
2023-02-24,4.624
2023-02-23,4.536
2023-02-22,4.557
2023-02-21,4.586
2023-02-20,4.622
2023-02-17,4.594
2023-02-16,4.561
2023-02-15,4.567
2023-02-14,4.563
2023-02-13,4.604
2023-02-10,4.609
2023-02-09,4.61
2023-02-08,4.575
2023-02-07,4.56
2023-02-06,4.563
2023-02-03,4.556
2023-02-02,4.472
2023-02-01,4.524
2023-01-31,4.524
2023-01-30,4.548
2023-01-27,4.553
2023-01-26,4.495
2023-01-25,4.524
2023-01-24,4.565
2023-01-23,4.568
2023-01-20,4.558
2023-01-19,4.439
2023-01-18,4.457
2023-01-17,4.476
2023-01-16,4.489
2023-01-13,4.446
2023-01-12,4.248
2023-01-11,4.251
2023-01-10,4.269
2023-01-09,4.242
2023-01-06,4.209
2023-01-05,4.138
2023-01-04,4.055
2023-01-03,4.022
2023-01-02,4.017
2022-12-30,4.004
2022-12-29,3.613
2022-12-28,3.629
2022-12-27,3.683
2022-12-26,3.737
2022-12-23,3.704
2022-12-22,3.73
2022-12-21,3.736
2022-12-20,3.769
2022-12-19,3.836
2022-12-16,3.841
2022-12-15,3.839
2022-12-14,3.8
2022-12-13,3.79
2022-12-12,3.742
2022-12-09,3.727
2022-12-08,3.668
2022-12-07,3.677
2022-12-06,3.739
2022-12-05,3.806
2022-12-02,3.811
2022-12-01,3.941
2022-11-30,3.96
2022-11-29,3.986
2022-11-28,4.022
2022-11-25,4.045
2022-11-24,4.07
2022-11-23,3.858
2022-11-22,3.864
2022-11-21,3.874
2022-11-18,3.857
2022-11-17,3.761
2022-11-16,3.708
2022-11-15,3.662
2022-11-14,3.64
2022-11-10,3.561
2022-11-09,3.509
2022-11-08,3.56
2022-11-07,3.625
2022-11-04,3.658
2022-11-03,3.45
2022-11-02,3.588
2022-11-01,3.617
2022-10-31,3.63
2022-10-28,3.655
2022-10-27,3.351
2022-10-26,3.402
2022-10-25,3.423
2022-10-24,3.477
2022-10-21,3.472
2022-10-20,3.188
2022-10-19,3.176
2022-10-18,3.133
2022-10-17,3.207
2022-10-14,3.219
2022-10-13,2.936
2022-10-12,2.944
2022-10-11,2.962
2022-10-10,3.006
2022-10-07,2.967
2022-10-06,2.816
2022-10-05,2.761
2022-10-04,2.784
2022-10-03,2.759
2022-09-30,2.738
2022-09-29,2.509
2022-09-28,2.534
2022-09-27,2.646
2022-09-26,2.652
2022-09-23,2.654
2022-09-22,2.47
2022-09-21,2.514
2022-09-20,2.522
2022-09-19,2.568
2022-09-16,2.654
2022-09-15,2.361
2022-09-14,2.466
2022-09-13,2.486
2022-09-12,2.575
2022-09-09,2.552
2022-09-08,2.234
2022-09-07,2.204
2022-09-06,2.382
2022-09-05,2.453
2022-09-02,2.458
2022-09-01,2.308
2022-08-31,2.336
2022-08-30,2.346
2022-08-29,2.384
2022-08-26,2.346
2022-08-25,2.224
2022-08-24,2.188
2022-08-23,2.173
2022-08-22,2.209
2022-08-19,2.184
2022-08-18,2.137
2022-08-17,2.143
2022-08-16,2.199
2022-08-15,2.189
2022-08-12,2.194
2022-08-11,2.193
2022-08-10,2.183
2022-08-09,2.183
2022-08-08,2.148
2022-08-05,2.168
2022-08-04,2.112
2022-08-03,2.153
2022-08-02,2.186
2022-08-01,2.217
2022-07-29,2.189
2022-07-28,2.135
2022-07-27,2.125
2022-07-26,2.178
2022-07-25,2.133
2022-07-22,2.148
2022-07-21,1.83
2022-07-20,1.868
2022-07-19,1.906
2022-07-18,1.942
2022-07-15,1.965
2022-07-14,1.672
2022-07-13,1.741
2022-07-12,1.594
2022-07-11,1.558
2022-07-08,1.571
2022-07-07,1.301
2022-07-06,1.307
2022-07-05,1.302
2022-07-04,1.33
2022-07-01,1.291
2022-06-30,1.078
2022-06-29,1.088
2022-06-28,1.088
2022-06-27,1.147
2022-06-24,1.18
2022-06-23,1.065
2022-06-22,0.951
2022-06-21,1.081
2022-06-20,1.225
2022-06-17,1.159
2022-06-16,1.007
2022-06-15,1.172
2022-06-14,1.159
2022-06-13,1.106
2022-06-10,1.106
2022-06-09,0.905
2022-06-08,0.865
2022-06-07,0.857
2022-06-06,0.87
2022-06-03,0.87
2022-06-02,0.756
2022-06-01,0.761
2022-05-31,0.72
2022-05-30,0.662
2022-05-27,0.702
2022-05-26,0.54
2022-05-25,0.545
2022-05-24,0.515
2022-05-23,0.527
2022-05-20,0.642
2022-05-19,0.505
2022-05-18,0.497
2022-05-17,0.583
2022-05-16,0.631
2022-05-13,0.687
2022-05-12,0.606
2022-05-11,0.532
2022-05-10,0.53
2022-05-09,0.5
2022-05-06,0.489
2022-05-05,0.446
2022-05-04,0.459
2022-05-03,0.423
2022-05-02,0.385
2022-04-29,0.37
2022-04-28,0.271
2022-04-27,0.34
2022-04-26,0.352
2022-04-25,0.403
2022-04-22,0.461
2022-04-21,0.342
2022-04-20,0.335
2022-04-19,0.335
2022-04-18,0.37
2022-04-14,0.259
2022-04-13,0.218
2022-04-12,0.215
2022-04-11,0.248
2022-04-08,0.233
2022-04-07,0.167
2022-04-06,0.17
2022-04-05,0.175
2022-04-04,0.172
2022-04-01,0.177
2022-03-31,0.147
2022-03-30,0.134
2022-03-29,0.172
2022-03-28,0.177
2022-03-25,0.177
2022-03-24,0.16
2022-03-23,0.147
2022-03-22,0.193
2022-03-21,0.213
2022-03-18,0.221
2022-03-17,0.17
2022-03-16,0.228
2022-03-15,0.21
2022-03-14,0.218
2022-03-11,0.198
2022-03-10,0.132
2022-03-09,0.165
2022-03-08,0.157
2022-03-07,0.177
2022-03-04,0.183
2022-03-03,0.188
2022-03-02,0.134
2022-03-01,0.106
2022-02-28,0.061
2022-02-25,0.068
2022-02-24,0.023
2022-02-23,0.028
2022-02-22,0.03
2022-02-21,0.036
2022-02-18,0.03
2022-02-17,0.033
2022-02-16,0.035
2022-02-15,0.028
2022-02-14,0.03
2022-02-11,0.046
2022-02-10,0.058
2022-02-09,0.033
2022-02-08,0.043
2022-02-07,0.035
2022-02-04,0.041
2022-02-03,0.033
2022-02-02,0.035
2022-02-01,0.048
2022-01-31,0.041
2022-01-28,0.043
2022-01-27,0.035
2022-01-26,0.043
2022-01-25,0.046
2022-01-24,0.046
2022-01-21,0.046
2022-01-20,0.043
2022-01-19,0.043
2022-01-18,0.046
2022-01-17,0.053
2022-01-14,0.048
2022-01-13,0.035
2022-01-12,0.043
2022-01-11,0.043
2022-01-10,0.051
2022-01-07,0.051
2022-01-06,0.053
2022-01-05,0.051
2022-01-04,0.048
2022-01-03,0.051
2021-12-31,0.056
2021-12-30,0.02
2021-12-29,0.013
2021-12-28,0.023
2021-12-27,0.035
2021-12-23,0.033
2021-12-22,0.03
2021-12-21,0.03
2021-12-20,0.03
2021-12-17,0.035
2021-12-16,0.018
2021-12-15,0.02
2021-12-14,0.013
2021-12-13,0.025
2021-12-10,0.028
2021-12-09,0.025
2021-12-08,0.043
2021-12-07,0.043
2021-12-06,0.041
2021-12-03,0.046
2021-12-02,0.079
2021-12-01,0.099
2021-11-30,0.106
2021-11-29,0.084
2021-11-26,0.137
2021-11-25,0.094
2021-11-24,0.071
2021-11-23,0.068
2021-11-22,0.076
2021-11-19,0.117
2021-11-18,0.046
2021-11-17,0.058
2021-11-16,0.061
2021-11-15,0.051
2021-11-12,0.056
2021-11-11,0.053
2021-11-10,0.051
2021-11-09,0.048
2021-11-08,0.041
2021-11-05,0.041
2021-11-04,0.048
2021-11-03,0.046
2021-11-02,0.046
2021-11-01,0.051
2021-10-29,0.056
2021-10-28,0.056
2021-10-27,0.056
2021-10-26,0.056
2021-10-25,0.056
2021-10-22,0.056
2021-10-21,0.043
2021-10-20,0.043
2021-10-19,0.046
2021-10-18,0.041
2021-10-15,0.041
2021-10-14,0.005
2021-10-13,0.015
2021-10-12,0.018
2021-10-11,0.025
2021-10-08,0.018
2021-10-07,0.02
2021-10-06,0.058
2021-10-05,0.106
2021-10-04,0.144
2021-10-01,0.074
2021-09-30,0.053
2021-09-29,0.048
2021-09-28,0.068
2021-09-27,0.061
2021-09-24,0.063
2021-09-23,0.043
2021-09-22,0.048
2021-09-21,0.046
2021-09-20,0.061
2021-09-17,0.056
2021-09-16,0.041
2021-09-15,0.041
2021-09-14,0.048
2021-09-13,0.051
2021-09-10,0.053
2021-09-09,0.046
2021-09-08,0.043
2021-09-07,0.035
2021-09-06,0.033
2021-09-03,0.035
2021-09-02,0.046
2021-09-01,0.041
2021-08-31,0.035
2021-08-30,0.035
2021-08-27,0.035
2021-08-26,0.03
2021-08-25,0.033
2021-08-24,0.033
2021-08-23,0.035
2021-08-20,0.043
2021-08-19,0.028
2021-08-18,0.033
2021-08-17,0.03
2021-08-16,0.035
2021-08-13,0.041
2021-08-12,0.033
2021-08-11,0.038
2021-08-10,0.046
2021-08-09,0.041
2021-08-06,0.041
2021-08-05,0.041
2021-08-04,0.043
2021-08-03,0.046
2021-08-02,0.046
2021-07-30,0.046
2021-07-29,0.041
2021-07-28,0.041
2021-07-27,0.043
2021-07-26,0.046
2021-07-23,0.046
2021-07-22,0.041
2021-07-21,0.041
2021-07-20,0.041
2021-07-19,0.046
2021-07-16,0.046
2021-07-15,0.043
2021-07-14,0.046
2021-07-13,0.048
2021-07-12,0.048
2021-07-09,0.051
2021-07-08,0.053
2021-07-07,0.053
2021-07-06,0.051
2021-07-05,0.061
2021-07-02,0.051
2021-07-01,0.048
2021-06-30,0.048
2021-06-29,0.041
2021-06-28,0.046
2021-06-25,0.051
2021-06-24,0.048
2021-06-23,0.046
2021-06-22,0.043
2021-06-21,0.041
2021-06-18,0.046
2021-06-17,0.038
