DATE,CPIAUCSL_PC1,CPILFESL_PC1
2022-08-01,8.21881,6.29980
2022-09-01,8.19827,6.64045
2022-10-01,7.75194,6.29494
2022-11-01,7.11947,5.96310
2022-12-01,6.41150,5.68051
2023-01-01,6.36212,5.54302
2023-02-01,5.96552,5.49348
2023-03-01,4.93509,5.56011
2023-04-01,4.94106,5.51572
2023-05-01,4.12069,5.33225
2023-06-01,3.05326,4.85522
2023-07-01,3.27178,4.70760
2023-08-01,3.71872,4.41280
2023-09-01,3.69406,4.14370
2023-10-01,3.24579,4.02170
2023-11-01,3.13948,4.01509
2023-12-01,3.32316,3.91012
2024-01-01,3.10598,3.87468
2024-02-01,3.16574,3.76195
