Date,Close
2007/1/3,82.68
2007/1/4,82.95
2007/1/5,82.71
2007/1/8,82.77
2007/1/9,82.75
2007/1/10,82.61
2007/1/11,82.39
2007/1/12,82.22
2007/1/16,82.38
2007/1/17,82.22
2007/1/18,82.33
2007/1/19,82.2
2007/1/22,82.35
2007/1/23,82.11
2007/1/24,82.12
2007/1/25,81.8
2007/1/26,81.79
2007/1/29,81.73
2007/1/30,81.81
2007/1/31,82.11
2007/2/1,81.74
2007/2/2,81.81
2007/2/5,81.9
2007/2/6,82.13
2007/2/7,82.31
2007/2/8,82.33
2007/2/9,82.08
2007/2/12,81.97
2007/2/13,81.91
2007/2/14,82.38
2007/2/15,82.51
2007/2/16,82.6
2007/2/20,82.7
2007/2/21,82.69
2007/2/22,82.48
2007/2/23,82.81
2007/2/26,83.07
2007/2/27,83.77
2007/2/28,83.48
2007/3/1,83.31
2007/3/2,83.55
2007/3/5,83.6
2007/3/6,83.49
2007/3/7,83.64
2007/3/8,83.63
2007/3/9,83.16
2007/3/12,83.39
2007/3/13,83.76
2007/3/14,83.65
2007/3/15,83.56
2007/3/16,83.55
2007/3/19,83.44
2007/3/20,83.56
2007/3/21,83.68
2007/3/22,83.4
2007/3/23,83.27
2007/3/26,83.34
2007/3/27,83.32
2007/3/28,83.31
2007/3/29,83.19
2007/3/30,83.09
2007/4/2,82.86
2007/4/3,82.79
2007/4/4,82.92
2007/4/5,82.71
2007/4/9,82.33
2007/4/10,82.5
2007/4/11,82.4
2007/4/12,82.48
2007/4/13,82.34
2007/4/16,82.43
2007/4/17,82.78
2007/4/18,82.97
2007/4/19,82.96
2007/4/20,82.87
2007/4/23,83.04
2007/4/24,83.2
2007/4/25,83.15
2007/4/26,82.91
2007/4/27,82.91
2007/4/30,83.27
2007/5/1,82.96
2007/5/2,82.86
2007/5/3,82.77
2007/5/4,82.98
2007/5/7,83.05
2007/5/8,83.05
2007/5/9,82.78
2007/5/10,82.99
2007/5/11,82.82
2007/5/14,82.7
2007/5/15,82.69
2007/5/16,82.64
2007/5/17,82.42
2007/5/18,82.18
2007/5/21,82.29
2007/5/22,82.06
2007/5/23,81.9
2007/5/24,82.01
2007/5/25,81.92
2007/5/29,81.75
2007/5/30,81.83
2007/5/31,81.8
2007/6/1,81.12
2007/6/4,81.25
2007/6/5,80.99
2007/6/6,81.03
2007/6/7,80.22
2007/6/8,80.37
2007/6/11,80.16
2007/6/12,79.59
2007/6/13,79.85
2007/6/14,79.87
2007/6/15,80.22
2007/6/18,80.18
2007/6/19,80.57
2007/6/20,80.31
2007/6/21,80.21
2007/6/22,80.45
2007/6/25,80.71
2007/6/26,80.73
2007/6/27,80.72
2007/6/28,80.67
2007/6/29,81.09
2007/7/2,80.9
2007/7/3,80.66
2007/7/5,80.21
2007/7/6,80.02
2007/7/9,80.31
2007/7/10,80.86
2007/7/11,80.58
2007/7/12,80.35
2007/7/13,80.53
2007/7/16,80.85
2007/7/17,80.68
2007/7/18,80.97
2007/7/19,80.96
2007/7/20,81.36
2007/7/23,81.33
2007/7/24,81.55
2007/7/25,81.66
2007/7/26,82.31
2007/7/27,82.47
2007/7/30,82.26
2007/7/31,82.6
2007/8/1,82.05
2007/8/2,82.11
2007/8/3,82.64
2007/8/6,82.31
2007/8/7,82.3
2007/8/8,81.73
2007/8/9,82.19
2007/8/10,82.07
2007/8/13,82.2
2007/8/14,82.5
2007/8/15,82.65
2007/8/16,82.97
2007/8/17,83.03
2007/8/20,83.21
2007/8/21,83.57
2007/8/22,83.3
2007/8/23,83.33
2007/8/24,83.36
2007/8/27,83.59
2007/8/28,84.02
2007/8/29,83.7
2007/8/30,84.12
2007/8/31,84.14
2007/9/4,83.65
2007/9/5,84.17
2007/9/6,83.99
2007/9/7,84.89
2007/9/11,84.9
2007/9/12,84.69
2007/9/13,84.19
2007/9/14,84.3
2007/9/17,84.35
2007/9/18,84.26
2007/9/19,83.96
2007/9/20,83.01
2007/9/21,83.43
2007/9/24,83.54
2007/9/25,83.55
2007/9/26,83.58
2007/9/27,83.85
2007/9/28,83.88
2007/10/1,83.67
2007/10/2,83.85
2007/10/3,83.79
2007/10/4,83.94
2007/10/5,83.2
2007/10/8,83.5
2007/10/9,83.24
2007/10/10,83.29
2007/10/11,83.33
2007/10/12,83.05
2007/10/15,83.13
2007/10/16,83.36
2007/10/17,83.87
2007/10/18,84.19
2007/10/19,84.91
2007/10/22,84.75
2007/10/23,84.73
2007/10/24,85.16
2007/10/25,85.09
2007/10/26,84.88
2007/10/29,84.95
2007/10/30,85.04
2007/10/31,84.47
2007/11/1,84.86
2007/11/2,85.09
2007/11/5,84.99
2007/11/6,84.84
2007/11/7,85.15
2007/11/8,85.34
2007/11/9,85.85
2007/11/12,86
2007/11/13,85.45
2007/11/14,85.62
2007/11/15,86.1
2007/11/16,86.1
2007/11/19,86.72
2007/11/20,86.49
2007/11/21,87.17
2007/11/27,87.28
2007/11/28,86.97
2007/11/29,87.46
2007/11/30,87.58
2007/12/3,87.63
2007/12/4,87.71
2007/12/5,87.38
2007/12/6,86.92
2007/12/7,86.36
2007/12/10,86.16
2007/12/11,87.34
2007/12/12,86.61
2007/12/13,85.97
2007/12/14,85.72
2007/12/17,86.23
2007/12/19,87.09
2007/12/20,86.95
2007/12/21,86.32
2007/12/26,85.66
2007/12/27,85.92
2007/12/28,86.61
