Date,Close
2007/1/3,43.24
2007/1/4,44.06
2007/1/5,43.85
2007/1/8,43.88
2007/1/9,44.1
2007/1/10,44.62
2007/1/11,45.08
2007/1/12,45.31
2007/1/16,45.28
2007/1/17,44.91
2007/1/18,44.08
2007/1/19,44.17
2007/1/22,43.69
2007/1/23,43.58
2007/1/24,44.3
2007/1/25,43.73
2007/1/26,43.57
2007/1/29,43.61
2007/1/30,43.63
2007/1/31,44.07
2007/2/1,44.02
2007/2/2,44.16
2007/2/5,44.12
2007/2/6,44.05
2007/2/7,44.46
2007/2/8,44.45
2007/2/9,43.84
2007/2/12,43.7
2007/2/13,43.86
2007/2/14,44.6
2007/2/15,44.86
2007/2/16,44.71
2007/2/20,44.68
2007/2/21,45.19
2007/2/22,45.42
2007/2/23,45.26
2007/2/26,45.04
2007/2/27,43.19
2007/2/28,43.33
2007/3/1,43.13
2007/3/2,42.48
2007/3/5,42.15
2007/3/6,42.85
2007/3/7,42.68
2007/3/8,42.97
2007/3/9,42.98
2007/3/12,43.21
2007/3/13,42.37
2007/3/14,42.99
2007/3/15,42.89
2007/3/16,42.83
2007/3/19,43.27
2007/3/20,43.58
2007/3/21,44.42
2007/3/22,44.26
2007/3/23,44.12
2007/3/26,44.3
2007/3/27,43.99
2007/3/28,43.52
2007/3/29,43.57
2007/3/30,43.53
2007/4/2,43.59
2007/4/3,44.16
2007/4/4,44.34
2007/4/10,44.68
2007/4/11,44.21
2007/4/12,44.56
2007/4/13,44.65
2007/4/16,45.06
2007/4/17,45.16
2007/4/18,45.01
2007/4/19,45.15
2007/4/20,45.4
2007/4/23,45.47
2007/4/24,45.7
2007/4/25,46.31
2007/4/26,46.55
2007/4/27,46.57
2007/4/30,45.96
2007/5/1,45.92
2007/5/2,46.42
2007/5/3,46.59
2007/5/4,46.63
2007/5/7,46.63
2007/5/8,46.73
2007/5/9,46.83
2007/5/10,46.19
2007/5/11,46.78
2007/5/14,46.46
2007/5/15,46.1
2007/5/16,46.55
2007/5/17,46.33
2007/5/18,46.71
2007/5/21,47.01
2007/5/22,47.05
2007/5/23,46.83
2007/5/24,46.16
2007/5/25,46.45
2007/5/29,46.81
2007/5/30,47.19
2007/5/31,47.41
2007/6/1,47.44
2007/6/4,47.58
2007/6/5,47.58
2007/6/6,47.07
2007/6/7,46.34
2007/6/8,46.91
2007/6/11,46.82
2007/6/12,46.54
2007/6/13,47.05
2007/6/14,47.36
2007/6/15,47.73
2007/6/18,47.77
2007/6/19,47.76
2007/6/20,47.31
2007/6/21,47.74
2007/6/22,47.29
2007/6/25,47.09
2007/6/26,46.82
2007/6/27,47.54
2007/6/28,47.52
2007/6/29,47.6
2007/7/2,48.01
2007/7/3,48.31
2007/7/5,48.66
2007/7/6,48.86
2007/7/9,48.89
2007/7/10,48.48
2007/7/11,48.81
2007/7/12,49.56
2007/7/13,49.9
2007/7/16,49.85
2007/7/17,50.23
2007/7/18,50.17
2007/7/19,50.32
2007/7/20,50.05
2007/7/23,50.07
2007/7/24,49.33
2007/7/25,49.4
2007/7/26,48.98
2007/7/27,47.99
2007/7/30,48.55
2007/7/31,47.53
2007/8/1,47.9
2007/8/2,48.34
2007/8/3,47.42
2007/8/6,47.97
2007/8/7,48.31
2007/8/8,48.84
2007/8/9,47.71
2007/8/10,47.28
2007/8/13,47.6
2007/8/14,46.79
2007/8/15,45.9
2007/8/16,45.45
2007/8/17,46.31
2007/8/20,46.53
2007/8/21,47.02
2007/8/22,47.66
2007/8/23,47.53
2007/8/24,48.2
2007/8/27,47.88
2007/8/28,46.74
2007/8/29,48.08
2007/8/30,48.33
2007/8/31,48.87
2007/9/4,49.68
2007/9/5,49.18
2007/9/6,49.14
2007/9/7,48.23
2007/9/11,48.93
2007/9/12,48.94
2007/9/13,49.18
2007/9/14,49.22
2007/9/17,48.81
2007/9/18,50.04
2007/9/19,50.17
2007/9/20,50.03
2007/9/21,50.36
2007/9/24,50.59
2007/9/25,51.07
2007/9/26,51.32
2007/9/27,51.58
2007/9/28,51.41
2007/10/1,52
2007/10/2,52.01
2007/10/3,51.65
2007/10/4,51.77
2007/10/5,52.82
2007/10/8,53.15
2007/10/9,53.38
2007/10/10,53.51
2007/10/11,52.66
2007/10/12,53.53
2007/10/15,53.12
2007/10/16,52.87
