Date,SPY,AGG,QQQ,VNQ,IWM,VIG,IEF
2007-03-01,140.50999450683594,,,,78.41999816894531,,
2007-03-02,138.6699981689453,,,,76.86000061035156,,
2007-03-05,137.35000610351562,,,,75.16999816894531,,
2007-03-06,139.6999969482422,,,,77.22000122070312,,
2007-03-07,139.55999755859375,,,,76.97000122070312,,
2007-03-08,140.74000549316406,,,,77.55000305175781,,
2007-03-09,140.77999877929688,,,,78.18000030517578,,
2007-03-12,140.99000549316406,,,,78.4000015258789,,
2007-03-13,138.25,,,,76.38999938964844,,
2007-03-14,139.27999877929688,,,,77.19999694824219,,
2007-03-15,139.47000122070312,,,,77.80000305175781,,
2007-03-16,138.52999877929688,,,,77.2699966430664,,
2007-03-19,140.1999969482422,,,,78.2300033569336,,
2007-03-20,140.97000122070312,,,,78.8499984741211,,
2007-03-21,143.2899932861328,,,,80.2699966430664,,
2007-03-22,143.17999267578125,,,,80.2699966430664,,
2007-03-23,143.38999938964844,,,,80.23999786376953,,
2007-03-26,143.1999969482422,,,,80.06999969482422,,
2007-03-27,142.86000061035156,,,,79.69999694824219,,
2007-03-28,141.82000732421875,,,,79.1500015258789,,
2007-03-29,141.97000122070312,,,,79.25,,
2007-03-30,142.0,,,,79.44999694824219,,
2007-04-02,142.16000366210938,,,,79.6500015258789,,
2007-04-03,143.69000244140625,,,,80.5,,
2007-04-04,143.85000610351562,,,,80.48999786376953,,
2007-04-05,144.24000549316406,,,,80.44000244140625,,
2007-04-09,144.44000244140625,,,,80.55000305175781,,
2007-04-10,144.61000061035156,,,,80.80000305175781,,
2007-04-11,144.02000427246094,,,,80.30000305175781,,
2007-04-12,144.66000366210938,,,,80.83999633789062,,
2007-04-13,145.32000732421875,,,,81.36000061035156,,
2007-04-16,146.6999969482422,,,,82.4800033569336,,
2007-04-17,147.08999633789062,,,,82.2300033569336,,
2007-04-18,147.27000427246094,,,,81.75,,
2007-04-19,147.22999572753906,,,,81.36000061035156,,
2007-04-20,148.6199951171875,,,,82.30999755859375,,
2007-04-23,148.05999755859375,,,,82.22000122070312,,
2007-04-24,148.1199951171875,,,,82.18000030517578,,
2007-04-25,149.47999572753906,,,,82.41000366210938,,
2007-04-26,149.64999389648438,,,,82.87000274658203,,
2007-04-27,149.52999877929688,,,,82.5199966430664,,
2007-04-30,148.2899932861328,,,,80.73999786376953,,
2007-05-01,148.6699981689453,,,,81.06999969482422,,
2007-05-02,149.5399932861328,,,,82.1500015258789,,
2007-05-03,150.35000610351562,,,,82.30000305175781,,
2007-05-04,150.9199981689453,,,,82.81999969482422,,
2007-05-07,150.9499969482422,,,,82.58000183105469,,
2007-05-08,150.75,,,,82.29000091552734,,
2007-05-09,151.16000366210938,,,,82.62000274658203,,
2007-05-10,149.5800018310547,,,,81.5999984741211,,
2007-05-11,150.86000061035156,,,,82.33999633789062,,
2007-05-14,150.52999877929688,,,,81.62000274658203,,
2007-05-15,150.57000732421875,,,,80.97000122070312,,
2007-05-16,151.60000610351562,,,,81.41000366210938,,
2007-05-17,151.3000030517578,,,,80.77999877929688,,
2007-05-18,152.6199951171875,,,,81.7300033569336,,
2007-05-21,152.5399932861328,,,,82.76000213623047,,
2007-05-22,152.4199981689453,,,,83.2699966430664,,
2007-05-23,152.44000244140625,,,,83.05000305175781,,
2007-05-24,151.05999755859375,,,,81.95999908447266,,
2007-05-25,151.69000244140625,,,,82.48999786376953,,
2007-05-29,152.24000549316406,,,,83.25,,
2007-05-30,153.47999572753906,,,,83.80999755859375,,
2007-05-31,153.32000732421875,,,,84.2699966430664,,
2007-06-01,154.0800018310547,,,,84.69999694824219,,
2007-06-04,154.10000610351562,,,,84.79000091552734,,
2007-06-05,153.49000549316406,,,,84.44999694824219,,
2007-06-06,151.83999633789062,,,,83.51000213623047,,
2007-06-07,149.10000610351562,,,,81.77999877929688,,
2007-06-08,151.0399932861328,,,,82.8499984741211,,
2007-06-11,151.3000030517578,,,,82.87000274658203,,
2007-06-12,149.64999389648438,,,,81.5,,
2007-06-13,151.88999938964844,,,,82.58999633789062,,
2007-06-14,152.86000061035156,,,,83.33999633789062,,
2007-06-15,153.07000732421875,,,,84.33000183105469,,
2007-06-18,152.88999938964844,,,,84.16999816894531,,
2007-06-19,153.27000427246094,,,,84.38999938964844,,
2007-06-20,151.13999938964844,,,,82.93000030517578,,
2007-06-21,151.97999572753906,,,,83.58000183105469,,
2007-06-22,150.5500030517578,,,,82.91999816894531,,
2007-06-25,149.8300018310547,,,,82.48999786376953,,
2007-06-26,148.2899932861328,,,,81.87999725341797,,
2007-06-27,150.39999389648438,,,,83.58999633789062,,
2007-06-28,150.3800048828125,,,,83.41999816894531,,
2007-06-29,150.42999267578125,,,,82.9000015258789,,
2007-07-02,151.7899932861328,,,,83.97000122070312,,
2007-07-03,152.33999633789062,,,,84.37000274658203,,
2007-07-05,152.17999267578125,,,,84.51000213623047,,
2007-07-06,152.97999572753906,,,,84.80000305175781,,
2007-07-09,153.10000610351562,,,,84.72000122070312,,
2007-07-10,150.9199981689453,,,,83.33000183105469,,
2007-07-11,151.99000549316406,,,,83.83000183105469,,
2007-07-12,154.38999938964844,,,,84.81999969482422,,
2007-07-13,154.85000610351562,,,,84.9000015258789,,
2007-07-16,154.8300018310547,,,,84.4800033569336,,
2007-07-17,154.75,,,,84.54000091552734,,
2007-07-18,154.47000122070312,,,,84.2699966430664,,
2007-07-19,155.07000732421875,,,,84.51000213623047,,
2007-07-20,153.5,,,,83.25,,
2007-07-23,153.97000122070312,,,,82.94000244140625,,
