date,AGG,IEF,IWM,QQQ,SPY,VIG,VNQ
2020-04-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
2020-04-08,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-04-16,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-04-23,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-04-30,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-05-07,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-05-14,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-05-21,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-05-29,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-06-05,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-06-12,0.0958169624209404,0.26045751571655273,0.0958169624209404,0.26045751571655273,0.0958169624209404,0.0958169624209404,0.09581711143255234
2020-06-19,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-06-26,0.09581675380468369,0.26045694947242737,0.09581675380468369,0.26045694947242737,0.09581675380468369,0.09581675380468369,0.09581908583641052
2020-07-06,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-07-13,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-07-20,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-07-27,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-08-03,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.2604575753211975,0.09581697732210159,0.09581697732210159,0.09581697732210159
2020-08-10,0.09546778351068497,0.259508341550827,0.09546778351068497,0.259508341550827,0.09546778351068497,0.09546778351068497,0.09911222755908966
2020-08-17,0.0842515304684639,0.2290194183588028,0.0842515304684639,0.2290194183588028,0.0842515304684639,0.0842515304684639,0.20495513081550598
2020-08-24,0.0822717621922493,0.22363784909248352,0.0822717621922493,0.22363784909248352,0.0822717621922493,0.0822717621922493,0.22363726794719696
2020-08-31,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-09-08,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-09-15,0.09581471979618073,0.26045143604278564,0.09581471979618073,0.26045143604278564,0.09581471979618073,0.09581471979618073,0.0958382859826088
2020-09-22,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-09-29,0.09529247134923935,0.25903183221817017,0.09529247134923935,0.25903183221817017,0.09529247134923935,0.09529247134923935,0.10076650232076645
2020-10-06,0.08236443251371384,0.22388975322246552,0.08236443251371384,0.22388975322246552,0.08236443251371384,0.08236443251371384,0.2227628082036972
2020-10-13,0.09226299822330475,0.2507968544960022,0.09226299822330475,0.2507968544960022,0.09226299822330475,0.09226299822330475,0.129354327917099
2020-10-20,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-10-27,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-11-03,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-11-10,0.08235053718090057,0.2238519936800003,0.08235053718090057,0.2238519936800003,0.08235053718090057,0.08235053718090057,0.22289392352104187
2020-11-17,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-11-24,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-12-02,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-12-09,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-12-16,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-12-23,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
2020-12-31,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.22363772988319397,0.08227171748876572,0.08227171748876572,0.22363772988319397
